Latitude (decimal degrees): 36.841
Longitude (decimal degrees): -2.494
Elevation (m): 209.0
Irradiance Time Offset (h): 0.1657
month,year
1,2007
2,2019
3,2006
4,2019
5,2008
6,2013
7,2011
8,2005
9,2011
10,2012
11,2013
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070101:0000,14.23,86.68,0.0,-0.0,0.0,18.23,5.69,95.0,103870.0
20070101:0100,13.91,86.81,0.0,-0.0,0.0,19.51,4.64,97.0,103820.0
20070101:0200,13.6,86.94,0.0,-0.0,0.0,20.79,3.58,110.0,103800.0
20070101:0300,13.28,87.07,0.0,-0.0,0.0,22.06,2.53,132.0,103780.0
20070101:0400,12.97,87.2,0.0,-0.0,0.0,23.34,1.48,160.0,103750.0
20070101:0500,12.65,87.33,0.0,-0.0,0.0,24.62,0.42,162.0,103710.0
20070101:0600,12.33,87.46,0.0,-0.0,0.0,25.9,-0.63,175.0,103700.0
20070101:0700,12.02,87.58,0.0,-0.0,0.0,27.17,-1.68,197.0,103720.0
20070101:0800,12.9,83.25,91.0,442.41,36.0,-1.7,0.97,211.0,103720.0
20070101:0900,13.56,83.35,256.0,696.28,62.0,13.9,1.17,221.0,103740.0
20070101:1000,15.26,72.45,391.0,789.01,77.0,-2.7,1.59,229.0,103790.0
20070101:1100,15.37,75.1,482.0,847.71,80.0,-1.7,2.28,211.0,103740.0
20070101:1200,15.5,75.15,512.0,848.3,86.0,13.7,2.97,208.0,103660.0
20070101:1300,15.56,77.85,485.0,835.5,84.0,-3.25,3.45,211.0,103530.0
20070101:1400,15.94,77.95,360.0,540.29,139.0,1.15,3.59,213.0,103480.0
20070101:1500,15.83,83.55,232.0,407.77,112.0,-1.35,3.66,218.0,103430.0
20070101:1600,15.73,83.55,111.0,522.66,36.0,0.95,3.59,226.0,103450.0
20070101:1700,14.74,92.7,0.0,-0.0,0.0,-8.1,3.72,234.0,103440.0
20070101:1800,14.62,92.7,0.0,-0.0,0.0,-3.65,3.59,243.0,103440.0
20070101:1900,14.58,92.7,0.0,-0.0,0.0,4.05,3.31,247.0,103450.0
20070101:2000,14.65,89.5,0.0,-0.0,0.0,-7.15,2.9,249.0,103460.0
20070101:2100,14.34,89.5,0.0,-0.0,0.0,0.55,2.62,249.0,103470.0
20070101:2200,14.02,86.4,0.0,-0.0,0.0,2.7,2.28,262.0,103490.0
20070101:2300,13.83,89.45,0.0,-0.0,0.0,-4.45,1.66,254.0,103520.0
20070102:0000,13.66,89.45,0.0,-0.0,0.0,-1.35,1.24,258.0,103490.0
20070102:0100,13.69,89.45,0.0,-0.0,0.0,287.9,1.24,265.0,103490.0
20070102:0200,13.53,89.45,0.0,-0.0,0.0,-0.55,1.24,271.0,103520.0
20070102:0300,13.52,89.45,0.0,-0.0,0.0,-0.55,1.38,276.0,103470.0
20070102:0400,13.42,89.45,0.0,-0.0,0.0,-1.15,1.38,277.0,103430.0
20070102:0500,13.34,92.65,0.0,-0.0,0.0,-0.35,1.45,281.0,103430.0
20070102:0600,13.25,92.65,0.0,-0.0,0.0,-0.55,1.31,289.0,103440.0
20070102:0700,13.18,92.65,0.0,-0.0,0.0,0.55,1.03,302.0,103490.0
20070102:0800,13.28,89.4,96.0,523.69,31.0,0.0,0.69,343.0,103550.0
20070102:0900,13.96,83.4,262.0,731.85,58.0,-1.15,0.97,34.0,103670.0
20070102:1000,15.83,75.15,402.0,838.23,68.0,4.8,1.72,65.0,103760.0
20070102:1100,15.92,70.1,493.0,884.02,73.0,4.6,2.62,104.0,103740.0
20070102:1200,15.98,70.1,527.0,897.8,75.0,4.05,3.17,117.0,103680.0
20070102:1300,16.1,67.65,497.0,872.13,77.0,-7.35,3.17,120.0,103610.0
20070102:1400,16.34,67.65,414.0,841.9,68.0,-0.35,3.17,112.0,103590.0
20070102:1500,16.2,67.65,280.0,748.88,58.0,4.25,3.72,101.0,103590.0
20070102:1600,16.09,65.25,112.0,507.56,38.0,-2.3,3.59,92.0,103650.0
20070102:1700,15.52,72.55,0.0,-0.0,0.0,0.75,3.31,80.0,103650.0
20070102:1800,14.85,77.75,0.0,-0.0,0.0,-2.5,3.52,69.0,103700.0
20070102:1900,14.49,77.75,0.0,-0.0,0.0,-2.5,3.24,64.0,103700.0
20070102:2000,13.96,77.65,0.0,-0.0,0.0,0.95,2.76,63.0,103710.0
20070102:2100,13.19,80.35,0.0,-0.0,0.0,-1.15,2.41,70.0,103720.0
20070102:2200,13.02,74.75,0.0,-0.0,0.0,-2.3,1.93,81.0,103720.0
