Latitude (decimal degrees): 50.924
Longitude (decimal degrees): 11.615
Elevation (m): 306.0
Irradiance Time Offset (h): 0.1824
month,year
1,2015
2,2011
3,2015
4,2011
5,2011
6,2009
7,2011
8,2010
9,2012
10,2014
11,2014
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,1.95,96.48,0.0,-0.0,0.0,322.67,2.01,259.0,99640.0
20150101:0100,1.97,95.86,0.0,-0.0,0.0,322.67,1.97,259.0,99630.0
20150101:0200,1.98,95.24,0.0,-0.0,0.0,322.67,1.93,260.0,99670.0
20150101:0300,2.0,94.63,0.0,-0.0,0.0,322.68,1.9,260.0,99650.0
20150101:0400,2.02,94.01,0.0,-0.0,0.0,322.68,1.86,258.0,99660.0
20150101:0500,2.04,93.39,0.0,-0.0,0.0,322.68,1.83,251.0,99660.0
20150101:0600,2.06,92.77,0.0,-0.0,0.0,322.69,1.79,241.0,99660.0
20150101:0700,2.08,92.16,0.0,-0.0,0.0,322.69,1.75,256.0,99780.0
20150101:0800,1.98,92.1,34.0,0.0,34.0,322.6,1.86,246.0,99800.0
20150101:0900,2.36,88.65,107.0,125.49,83.0,321.45,2.0,226.0,99790.0
20150101:1000,3.02,92.15,178.0,272.88,109.0,315.25,2.14,216.0,99720.0
20150101:1100,3.84,88.75,207.0,332.65,115.0,292.6,2.28,216.0,99630.0
20150101:1200,4.72,85.55,167.0,184.09,119.0,277.3,2.28,225.0,99580.0
20150101:1300,4.87,85.55,129.0,193.74,89.0,262.8,2.76,224.0,99490.0
20150101:1400,4.27,88.8,78.0,323.57,40.0,262.2,2.62,236.0,99510.0
20150101:1500,3.06,92.15,0.0,-0.0,0.0,262.4,2.69,233.0,99570.0
20150101:1600,2.15,88.65,0.0,-0.0,0.0,268.8,2.97,218.0,99550.0
20150101:1700,1.9,92.1,0.0,-0.0,0.0,277.9,3.1,217.0,99540.0
20150101:1800,1.84,92.1,0.0,-0.0,0.0,283.9,3.24,217.0,99500.0
20150101:1900,1.44,92.05,0.0,-0.0,0.0,287.2,3.72,218.0,99410.0
20150101:2000,1.5,92.05,0.0,-0.0,0.0,292.6,3.93,221.0,99400.0
20150101:2100,1.42,92.05,0.0,-0.0,0.0,286.2,4.21,217.0,99310.0
20150101:2200,1.62,88.65,0.0,-0.0,0.0,295.9,4.55,217.0,99170.0
20150101:2300,1.84,88.65,0.0,-0.0,0.0,301.3,4.62,223.0,99070.0
20150102:0000,1.94,85.3,0.0,-0.0,0.0,300.75,4.9,222.0,99010.0
20150102:0100,1.91,85.3,0.0,-0.0,0.0,289.6,5.17,219.0,98890.0
20150102:0200,1.96,82.05,0.0,-0.0,0.0,284.65,5.24,221.0,98850.0
20150102:0300,2.02,75.95,0.0,-0.0,0.0,280.4,5.31,219.0,98740.0
20150102:0400,2.14,70.3,0.0,-0.0,0.0,281.95,5.31,221.0,98640.0
20150102:0500,1.98,70.2,0.0,-0.0,0.0,266.65,5.45,225.0,98580.0
20150102:0600,2.19,65.0,0.0,-0.0,0.0,273.85,5.72,226.0,98530.0
20150102:0700,2.3,73.1,0.0,-0.0,0.0,311.4,6.0,230.0,98520.0
20150102:0800,2.23,82.15,35.0,0.0,35.0,331.5,6.14,231.0,98560.0
20150102:0900,2.6,85.35,14.0,0.0,14.0,330.95,6.14,234.0,98550.0
20150102:1000,3.04,88.65,41.0,0.0,41.0,327.25,6.0,235.0,98580.0
20150102:1100,3.34,85.4,49.0,0.0,49.0,326.3,5.93,236.0,98570.0
20150102:1200,3.62,85.45,106.0,19.05,101.0,326.65,5.66,238.0,98520.0
